Number,Location,Energy Setting,Repair Scars (0/1),Height (mm)
P1,Prasiola,High,0,25
P2,Prasiola,High,1,22
P3,Prasiola,High,0,19.9
P4,Prasiola,High,1,23.3
P5,Prasiola,High,0,25.8
P6,Prasiola,High,1,22.9
P7,Prasiola,High,0,23.7
P8,Prasiola,High,0,26.5
P9,Prasiola,High,0,21
P10,Prasiola,High,0,23.6
P11,Prasiola,High,0,30.8
P12,Prasiola,High,0,27.8
P13,Prasiola,High,0,23.3
P14,Prasiola,High,0,18.7
P15,Prasiola,High,0,17.8
P16,Prasiola,High,1,24.6
P17,Prasiola,High,1,27.7
P18,Prasiola,High,0,23
P19,Prasiola,High,1,24.4
P20,Prasiola,High,0,24.3
P21,Prasiola,High,0,23.1
P22,Prasiola,High,0,15.7
P23,Prasiola,High,1,24.1
P24,Prasiola,High,0,25.1
P25,Prasiola,High,1,21.9
P26,Prasiola,High,0,16.9
P27,Prasiola,High,1,23.5
P28,Prasiola,High,0,21.7
P29,Prasiola,High,0,17.1
P30,Prasiola,High,0,14.3
P31,Prasiola,High,0,20.7
P32,Prasiola,High,0,21.9
P33,Prasiola,High,0,18.3
P34,Prasiola,High,1,23.8
P35,Prasiola,High,0,21.1
P36,Prasiola,High,0,19.8
P37,Prasiola,High,0,13.3
P38,Prasiola,High,0,22.8
P39,Prasiola,High,0,21.9
P40,Prasiola,High,0,23.4
P41,Prasiola,High,0,21.1
P42,Prasiola,High,0,17
P43,Prasiola,High,0,21.5
P44,Prasiola,High,1,19.6
P45,Prasiola,High,1,21.9
P46,Prasiola,High,0,22.6
P47,Prasiola,High,1,19.2
P48,Prasiola,High,1,15.2
P49,Prasiola,High,0,18.6
P50,Prasiola,High,1,20.8
S1,Strawberry,Low,1,19.2
S2,Strawberry,Low,1,22.7
S3,Strawberry,Low,1,23.1
S4,Strawberry,Low,1,20
S5,Strawberry,Low,1,14.2
S6,Strawberry,Low,1,22.3
S7,Strawberry,Low,0,17.7
S8,Strawberry,Low,1,17.1
S9,Strawberry,Low,1,15.4
S10,Strawberry,Low,1,18.1
S11,Strawberry,Low,1,21.7
S12,Strawberry,Low,1,18.2
S13,Strawberry,Low,1,17.1
S14,Strawberry,Low,1,17.2
S15,Strawberry,Low,1,19.5
S16,Strawberry,Low,1,16
S17,Strawberry,Low,0,14.5
S18,Strawberry,Low,1,13
S19,Strawberry,Low,1,16.2
S20,Strawberry,Low,1,22.2
S21,Strawberry,Low,1,20.5
S22,Strawberry,Low,1,24.8
S23,Strawberry,Low,1,16.1
S24,Strawberry,Low,0,14.1
S25,Strawberry,Low,1,22.5
S26,Strawberry,Low,0,12.7
S27,Strawberry,Low,0,14.4
S28,Strawberry,Low,0,19
S29,Strawberry,Low,1,22.3
S30,Strawberry,Low,1,23.2
S31,Strawberry,Low,1,16.4
S32,Strawberry,Low,1,23.1
S33,Strawberry,Low,1,23.9
S34,Strawberry,Low,1,17.4
S35,Strawberry,Low,0,12
S36,Strawberry,Low,1,17.4
S37,Strawberry,Low,1,16.1
S38,Strawberry,Low,1,20
S39,Strawberry,Low,1,18.3
S40,Strawberry,Low,1,15.3
S41,Strawberry,Low,1,20.5
S42,Strawberry,Low,1,22.3
S43,Strawberry,Low,1,14.9
S44,Strawberry,Low,1,20.5
S45,Strawberry,Low,1,18.5
S46,Strawberry,Low,1,16.3
S47,Strawberry,Low,0,14.5
S48,Strawberry,Low,1,22.4
S49,Strawberry,Low,0,14.8
S50,Strawberry,Low,1,22.3
M1,Mathers,Moderate,1,19.6
M2,Mathers,Moderate,0,18.3
M3,Mathers,Moderate,1,17.6
M4,Mathers,Moderate,1,16.5
M5,Mathers,Moderate,0,19.5
M6,Mathers,Moderate,1,19.7
M7,Mathers,Moderate,0,17.5
M8,Mathers,Moderate,0,19.2
M9,Mathers,Moderate,1,22.7
M10,Mathers,Moderate,1,17.8
M11,Mathers,Moderate,0,19.3
M12,Mathers,Moderate,0,20.8
M13,Mathers,Moderate,1,19.2
M14,Mathers,Moderate,0,18.4
M15,Mathers,Moderate,0,16.3
M16,Mathers,Moderate,1,22.5
M17,Mathers,Moderate,1,19.8
M18,Mathers,Moderate,0,19.2
M19,Mathers,Moderate,1,22
M20,Mathers,Moderate,0,17.1
M21,Mathers,Moderate,1,17.8
M22,Mathers,Moderate,1,18.4
M23,Mathers,Moderate,1,18
M24,Mathers,Moderate,0,20.2
M25,Mathers,Moderate,1,19.8
M26,Mathers,Moderate,1,20.9
M27,Mathers,Moderate,1,23.4
M28,Mathers,Moderate,0,17.3
M29,Mathers,Moderate,0,16.8
M30,Mathers,Moderate,1,22.5
M31,Mathers,Moderate,1,19.2
M32,Mathers,Moderate,0,17.9
M33,Mathers,Moderate,1,25.7
M34,Mathers,Moderate,0,17.7
M35,Mathers,Moderate,1,14.7
M36,Mathers,Moderate,1,18.1
M37,Mathers,Moderate,1,19.7
M38,Mathers,Moderate,1,19
M39,Mathers,Moderate,1,19.7
M40,Mathers,Moderate,1,18.8
M41,Mathers,Moderate,0,14.1
M42,Mathers,Moderate,0,23.4
M43,Mathers,Moderate,1,16
M44,Mathers,Moderate,0,18.1
M45,Mathers,Moderate,1,18.3
M46,Mathers,Moderate,1,19.2
M47,Mathers,Moderate,1,20.6
M48,Mathers,Moderate,1,18.8
M49,Mathers,Moderate,0,19.3
M50,Mathers,Moderate,1,17.5
