"Principal.Component","Eigenvalues","Proportion of Variance","Cumulative Proportion"
"PC1",0.00332,0.329,0.329
"PC2",0.00153,0.152,0.481
"PC3",0.00118,0.117,0.598
"PC4",0.00077,0.0763,0.674
"PC5",0.000715,0.0709,0.745
"PC6",0.000473,0.0469,0.792
"PC7",0.000419,0.0415,0.834
"PC8",0.000321,0.0318,0.866
"PC9",0.000225,0.0223,0.888
"PC10",0.000166,0.0165,0.904
"PC11",0.000163,0.0162,0.921
"PC12",0.000114,0.0113,0.932
"PC13",9.49e-05,0.00941,0.941
"PC14",7.74e-05,0.00767,0.949
"PC15",6.01e-05,0.00596,0.955
"PC16",5.48e-05,0.00544,0.96
"PC17",4.62e-05,0.00458,0.965
"PC18",4.29e-05,0.00426,0.969
"PC19",3.89e-05,0.00386,0.973
"PC20",3.53e-05,0.0035,0.977
"PC21",2.99e-05,0.00297,0.98
"PC22",2.31e-05,0.0023,0.982
"PC23",2.02e-05,0.002,0.984
"PC24",1.67e-05,0.00166,0.985
"PC25",1.54e-05,0.00152,0.987
"PC26",1.46e-05,0.00144,0.988
"PC27",1.4e-05,0.00138,0.99
"PC28",1.2e-05,0.00119,0.991
"PC29",1.01e-05,0.001,0.992
"PC30",8.15e-06,0.000809,0.993
"PC31",7.9e-06,0.000783,0.994
"PC32",6.47e-06,0.000642,0.994
"PC33",5.64e-06,0.00056,0.995
"PC34",4.79e-06,0.000475,0.995
"PC35",4.44e-06,0.000441,0.996
"PC36",4.17e-06,0.000414,0.996
"PC37",3.72e-06,0.000369,0.997
"PC38",3.45e-06,0.000342,0.997
"PC39",3.1e-06,0.000308,0.997
"PC40",2.69e-06,0.000267,0.997
"PC41",2.49e-06,0.000247,0.998
"PC42",2.22e-06,0.00022,0.998
"PC43",1.94e-06,0.000192,0.998
"PC44",1.8e-06,0.000178,0.998
"PC45",1.63e-06,0.000161,0.998
"PC46",1.42e-06,0.000141,0.999
"PC47",1.33e-06,0.000132,0.999
"PC48",1.14e-06,0.000113,0.999
"PC49",1.11e-06,0.00011,0.999
"PC50",1.02e-06,0.000101,0.999
"PC51",9.1e-07,9.02e-05,0.999
"PC52",8.06e-07,8e-05,0.999
"PC53",7.23e-07,7.17e-05,0.999
"PC54",6.47e-07,6.42e-05,0.999
"PC55",5.91e-07,5.86e-05,0.999
"PC56",5.53e-07,5.48e-05,0.999
"PC57",5.05e-07,5.01e-05,0.999
"PC58",4.51e-07,4.48e-05,1
"PC59",4.06e-07,4.03e-05,1
"PC60",3.81e-07,3.78e-05,1
"PC61",3.37e-07,3.35e-05,1
"PC62",3.09e-07,3.06e-05,1
"PC63",3.02e-07,3e-05,1
"PC64",2.93e-07,2.9e-05,1
"PC65",2.48e-07,2.46e-05,1
"PC66",2.36e-07,2.34e-05,1
"PC67",2.14e-07,2.13e-05,1
"PC68",2.03e-07,2.01e-05,1
"PC69",1.93e-07,1.92e-05,1
"PC70",1.8e-07,1.78e-05,1
"PC71",1.51e-07,1.5e-05,1
"PC72",1.44e-07,1.43e-05,1
"PC73",1.36e-07,1.35e-05,1
"PC74",1.25e-07,1.24e-05,1
"PC75",1.16e-07,1.16e-05,1
"PC76",1.1e-07,1.09e-05,1
"PC77",8.8e-08,8.73e-06,1
"PC78",7.83e-08,7.77e-06,1
"PC79",7.58e-08,7.52e-06,1
"PC80",6.85e-08,6.8e-06,1
"PC81",6.09e-08,6.04e-06,1
"PC82",5.38e-08,5.34e-06,1
"PC83",4.91e-08,4.87e-06,1
"PC84",4.75e-08,4.71e-06,1
"PC85",3.85e-08,3.82e-06,1
"PC86",3.4e-08,3.37e-06,1
"PC87",3.02e-08,2.99e-06,1
"PC88",2.44e-08,2.42e-06,1
"PC89",2.03e-08,2.01e-06,1
